RECTYPE,POLNO,PRODCD,COMMDT,STATCD,EXITDT,EXITRSN,XA08,UNPDDT,SCHNO,SCHNM,PREMAMT,PREMFRQ,XA14,SUMASSD,REGION,MBRNAME,BIRTHDT,NINO,PCODE,COVSTDT,XA22,LOYBONUS,EXTPNPCT,CUSTID
P,0000012345,WPEN,19860214,LA,00000000,,,19920229,,,0.00,SP,,250000,GB,"BROWN, JANE",19471019,AB098246B,W1A 0AX,19860108,C,0.00,0.00,CU760152
P,0000012346,IPEN,19860311,PU,00000000,,,00000000,,,25.00,A,,75000,GB,"PATEL, MICHAEL",19400731,CC291369B,EC1A 1BB,19860301,C,1875.00,0.00,CU768071
P,0000012347,TERM,20000206,IF,00000000,,,00000000,,,18.50,A,,50000,GB,"EVANS, ANNE",19630924,JL967096D,LS1 4DY,20000204,C,0.00,0.00,CU775990
P,0000012348,IPEN,20130314,CL,20241231,DTH,,00000000,,,120.00,H,,25000,GB,"TAYLOR, MARGARET",19600611,WK908573A,L1 8JQ,20130224,U,0.00,0.00,CU783909
P,0000012349,GPEN,20130708,IF,00000000,,,00000000,SCH00045,  borough council staff scheme ,25.00,H,,250000,GB,"ROBINSON, DAVID",19550509,PR484714D,G2 8DL,20130604,C,2812.50,0.00,CU791828
P,0000012350,TERM,20130916,LA,00000000,,,20190308,,,18.50,H,,25000,GB,"JONES, WILLIAM",19751228,CC222955D,L1 8JQ,20130830,C,0.00,0.00,CU799747
P,0000012351,TERM,20131102,IF,00000000,,,00000000,,,25.00,H,,25000,GB,"CLARKE, JANE",19630728,HJ379580B,CR2 6XH,20130926,C,0.00,0.00,CU807666
P,0000012352,IPEN,19890129,LA,00000000,,,19920201,,,250.00,Q,,25000,GB,"WHITE, ANNE",19450912,QQ123456C,M1 4WB,19890105,C,0.00,0.00,CU815585
P,0000012353,WPEN,19900220,LA,00000000,,,20020923,,,18.50,H,,50000,GB,"WHITE, PATRICIA",19800914,AA524902B,B33 8TH,19900220,U,0.00,0.00,CU823504
P,0000012354,TERM,19980522,CL,20220403,LAP,,00000000,,,45.50,Q,,25000,GB,"CLARKE, CHARLES",19400119,AB117301C,CF10 3AT,19980414,C,0.00,0.00,CU831423
